Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Unit Price,Unit Cost,Quantity,Discount,Sales,Profit
27,CA-2016-121755,1/16/2016,1/20/2016,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,3,0,8.7,2.52
28,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,7,0.5,18.2,4.55
29,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,CHO-MLK-002,Chocolate,Milk Chocolate,Almond Chocolate,4.6,2.81,2,0.7,2.76,0.69
30,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,CND-HRD-001,Candy,Hard Candy,Mint Candy,1.8,1.26,3,0.2,4.32,1.12
31,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,CHO-MLK-001,Chocolate,Milk Chocolate,Milk Bar,3.8,2.36,2,0.2,6.08,2.07
32,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,6,0.2,20.16,6.45
33,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,CHO-MLK-001,Chocolate,Milk Chocolate,Milk Bar,3.8,2.36,6,0.7,6.84,1.64
34,US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,2,0.2,4.16,1.12
35,CA-2017-107727,10/19/2017,10/23/2017,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,CND-GUM-001,Candy,Gummy,Bear Gummies,2.8,1.85,3,0.2,6.72,1.95
36,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,CHO-MLK-001,Chocolate,Milk Chocolate,Milk Bar,3.8,2.36,7,0.2,21.28,6.81
37,CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,BIS-WAF-002,Biscuits,Wafer,Chocolate Wafer,3.5,2.31,5,0.6,7,1.4
38,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,9,0.2,30.24,9.37
39,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,3,0.32,4.49,1.1
40,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,3,0.3,5.46,1.31
41,CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,BIS-WAF-002,Biscuits,Wafer,Chocolate Wafer,3.5,2.31,4,0.2,11.2,3.25
42,CA-2017-120999,9/10/2017,9/15/2017,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,4,0.2,10.24,2.97
43,CA-2016-101343,7/17/2016,7/22/2016,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,2,0,5.8,1.57
44,CA-2017-139619,9/19/2017,9/23/2017,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,BIS-COO-002,Biscuits,Cookie,Choco Chip Cookies,4.8,3.02,2,0.2,7.68,2.38
45,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,2,0,17.8,7.65
46,CA-2016-118255,3/11/2016,3/13/2016,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,2,0,6.4,2.11
47,CA-2014-146703,10/20/2014,10/25/2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,BIS-COO-002,Biscuits,Cookie,Choco Chip Cookies,4.8,3.02,4,0,19.2,7.1
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,3,0,15.6,5.46
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,BIS-WAF-002,Biscuits,Wafer,Chocolate Wafer,3.5,2.31,2,0,7,2.38
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,6,0,31.2,10.92
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,CHO-MLK-002,Chocolate,Milk Chocolate,Almond Chocolate,4.6,2.81,6,0,27.6,10.76
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,2,0,5.2,1.61
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,CHO-DRK-001,Chocolate,Dark Chocolate,70% Dark Bar,4.8,2.88,1,0,4.8,1.92
54,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,CHO-DRK-001,Chocolate,Dark Chocolate,70% Dark Bar,4.8,2.88,7,0,33.6,12.77
55,CA-2016-105816,12/11/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,5,0,17,5.27
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,6,0,15.6,4.84
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,5,0,16,5.6
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,BIS-COO-002,Biscuits,Cookie,Choco Chip Cookies,4.8,3.02,5,0.1,21.6,7.56
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,2,0,5.2,1.61
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,CHO-MLK-001,Chocolate,Milk Chocolate,Milk Bar,3.8,2.36,2,0,7.6,2.89
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,4,0.2,9.28,2.32
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,1,0,4.2,1.51
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,2,0,10.4,3.64
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,6,0.2,24.96,7.74
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,CND-LOP-002,Candy,Lollipop,Cola Lollipop,1.6,1.15,3,0,4.8,1.34
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,4,0,8.8,2.82
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,5,0.3,7.7,1.92
68,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,8,0.2,14.08,3.66
69,CA-2014-106376,12/5/2014,12/10/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,4,0.2,9.28,2.13
70,CA-2016-119823,6/4/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,CND-GUM-001,Candy,Gummy,Bear Gummies,2.8,1.85,2,0,5.6,1.9
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,CHO-MLK-002,Chocolate,Milk Chocolate,Almond Chocolate,4.6,2.81,1,0.2,3.68,1.29
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,3,0,12.6,4.54
73,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,CND-LOP-001,Candy,Lollipop,Strawberry Lollipop,1.5,1.08,8,0.2,9.6,2.3
74,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,BIS-WAF-002,Biscuits,Wafer,Chocolate Wafer,3.5,2.31,2,0.2,5.6,1.68
75,US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,CND-HRD-001,Candy,Hard Candy,Mint Candy,1.8,1.26,1,0.2,1.44,0.37
76,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,CHO-DRK-002,Chocolate,Dark Chocolate,Cocoa Premium,5.5,3.19,3,0.8,3.3,0.79
77,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,BIS-WAF-001,Biscuits,Wafer,Vanilla Wafer,3.2,2.14,3,0.6,3.84,0.73
78,US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,3,0.2,8.16,2.2
79,US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,BIS-COO-001,Biscuits,Cookie,Butter Cookies,4.2,2.69,5,0.6,8.4,2.02
80,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,1,0,8.9,3.83
81,CA-2016-127208,6/12/2016,6/15/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,3,0,26.7,11.48
82,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,5,0,14.5,4.2
83,CA-2014-139451,10/12/2014,10/16/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,CHO-DRK-002,Chocolate,Dark Chocolate,Cocoa Premium,5.5,3.19,1,0,5.5,2.31
84,CA-2015-149734,9/3/2015,9/8/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,CHO-DRK-001,Chocolate,Dark Chocolate,70% Dark Bar,4.8,2.88,7,0.2,26.88,9.14
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,3,0.2,21.36,8.54
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,2,0,4.4,1.41
87,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,1,0,5.2,1.82
88,CA-2017-155558,10/26/2017,11/2/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,2,0,17.8,8.01
89,CA-2016-159695,4/5/2016,4/10/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,7,0.2,49.84,19.94
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,3,0,10.2,3.16
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,BIS-WAF-001,Biscuits,Wafer,Vanilla Wafer,3.2,2.14,2,0.2,5.12,1.38
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,1,0,8.9,3.83
93,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,BIS-WAF-002,Biscuits,Wafer,Chocolate Wafer,3.5,2.31,2,0,7,2.38
94,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,3,0,15.6,5.46
95,CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,BIS-WAF-001,Biscuits,Wafer,Vanilla Wafer,3.2,2.14,2,0,6.4,2.11
96,US-2017-109484,11/6/2017,11/12/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,CND-GUM-002,Candy,Gummy,Fruit Gummies,3.2,2.08,1,0.7,0.96,0.19
97,CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,SNK-POP-001,Snacks,Popcorn,Caramel Popcorn,3.4,2.28,7,0,23.8,7.62
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,3,0.2,12.48,3.87
99,CA-2016-149223,9/6/2016,9/11/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,6,0,31.2,10.3
100,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,7,0.2,16.24,3.9
101,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,CHO-DRK-001,Chocolate,Dark Chocolate,70% Dark Bar,4.8,2.88,3,0.2,11.52,4.03
102,CA-2016-158568,8/29/2016,9/2/2016,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,3,0.8,1.32,0.2
103,CA-2016-129903,12/1/2016,12/4/2016,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,BIS-CRA-001,Biscuits,Cracker,Salt Crackers,2.6,1.79,4,0,10.4,3.22
104,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,CND-LOP-001,Candy,Lollipop,Strawberry Lollipop,1.5,1.08,6,0.2,7.2,1.73
105,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,3,0.2,5.28,1.48
106,US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,CND-LOP-002,Candy,Lollipop,Cola Lollipop,1.6,1.15,3,0.7,1.44,0.2
107,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,SNK-NUT-001,Snacks,Nut Mix,Mixed Nuts,5.2,3.38,8,0.2,33.28,10.32
108,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,CND-GUM-001,Candy,Gummy,Bear Gummies,2.8,1.85,1,0.2,2.24,0.67
109,CA-2017-119004,11/23/2017,11/28/2017,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,CND-LOP-002,Candy,Lollipop,Cola Lollipop,1.6,1.15,1,0.2,1.28,0.31
110,CA-2015-129476,10/15/2015,10/20/2015,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,CHO-TRU-001,Chocolate,Truffle,Chocolate Truffle Box,8.9,4.9,5,0.2,35.6,14.24
111,CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,CHO-DRK-002,Chocolate,Dark Chocolate,Cocoa Premium,5.5,3.19,2,0,11,4.4
112,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,CND-HRD-002,Candy,Hard Candy,Caramel Candy,2.2,1.5,2,0,4.4,1.41
113,CA-2016-128867,11/3/2016,11/10/2016,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,CND-LOP-001,Candy,Lollipop,Strawberry Lollipop,1.5,1.08,6,0,9,2.52
114,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,14,0.2,32.48,8.12
115,CA-2014-115259,8/25/2014,8/27/2014,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,SNK-CHP-001,Snacks,Chips,Potato Chips,2.9,2.06,2,0.2,4.64,1.16
